JoinField,JoinField2,JoinFieldAlt,Spanish,Polish,Indian_langs,Tagalog,Chinese,Ukranian,Arabic,Korean,Russian,V_20_VAP_White_pct,V_20_VAP_Hispanic_pct,V_20_VAP_Black_pct,V_20_VAP_Asian_pct,V_20_VAP_Native_pct,V_20_VAP_Pacific_pct,bach_pct,owner_pct,renter_pct,drive_pct,transit_pct,walk_pct,bike_pct,wfh_pct,X_22_2022_Age_Age_0_9_pct,X_22_2022_Age_Age_10_19_pct,X_22_2022_Age_Age_20_29_pct,X_22_2022_Age_Age_30_39_pct,X_22_2022_Age_Age_40_49_pct,X_22_2022_Age_Age_50_59_pct,X_22_2022_Age_Age_60_69_pct,X_22_2022_Age_Age_70_79_pct,X_22_2022_Age_Age_O79_pct,X_22_2022_Household_Income_U10K_pct,X_22_2022_Household_Income_10_15K_pct,X_22_2022_Household_Income_15_20K_pct,X_22_2022_Household_Income_20_25K_pct,X_22_2022_Household_Income_25_30K_pct,X_22_2022_Household_Income_30_35K_pct,X_22_2022_Household_Income_35_40K_pct,X_22_2022_Household_Income_40_45K_pct,X_22_2022_Household_Income_45_50K_pct,X_22_2022_Household_Income_50_60K_pct,X_22_2022_Household_Income_60_75K_pct,X_22_2022_Household_Income_75_100K_pct,X_22_2022_Household_Income_100_125K_pct,X_22_2022_Household_Income_125_150K_pct,X_22_2022_Household_Income_150_200K_pct,X_22_2022_Household_Income_O200K_pct,ward_preci,20Primary,Kaegi_margin,Assessor_tot_vote,Harris3_margin,SA_tot_vote,yes_margin,tot_union,median_voting_age,median_household_income,Pres_tot,20Primary_std,Kaegi_margin_std,Harris3_margin_std,yes_margin_std,prog_score_v1_recency,prog_score_v2_equal,prog_score_v3_recent_heavy,prog_score_predicted,prog_score_imputed,imputation_method,jurisdiction,precinct_name,in_chicago,in_evanston,in_skokie,township,in_cook,in_lake,in_mchenry,estimated_turnout_high,estimated_turnout,estimated_turnout_low,estimated_turnout_high_old,estimated_turnout_old,estimated_turnout_low_old,win_prob_Fine,median_pct_Fine,median_votes_Fine,win_prob_Biss,median_pct_Biss,median_votes_Biss,win_prob_Abughazaleh,median_pct_Abughazaleh,median_votes_Abughazaleh,win_prob_Simmons,median_pct_Simmons,median_votes_Simmons,win_prob_Amiwala,median_pct_Amiwala,median_votes_Amiwala,win_prob_Andrew,median_pct_Andrew,median_votes_Andrew,win_prob_Huynh,median_pct_Huynh,median_votes_Huynh,JoinField_norm,JoinField2_norm,JoinFieldAlt_norm,border_uncertainty_mult,exp_Fine,exp_Biss,exp_Abughazaleh,exp_Simmons,exp_Amiwala,exp_Andrew,exp_Huynh,exp_Others,adjusted_Fine,adjusted_Biss,adjusted_Abughazaleh,adjusted_Simmons,adjusted_Amiwala,adjusted_Andrew,adjusted_Huynh,final_Fine,final_Biss,final_Abughazaleh,final_Simmons,final_Amiwala,final_Andrew,final_Huynh,raw_Fine,raw_Biss,raw_Abughazaleh,raw_Simmons,raw_Amiwala,raw_Andrew,raw_Huynh,outside_chicago_weight,evanston_weight,chicago_weight,geo_boost_Biss_evanston,geo_boost_Abughazaleh_chicago,geo_boost_Simmons_chicago,geo_boost_Huynh_chicago,geo_boost_Fine_outside_chicago,geo_boost_Amiwala_niles,tot_cohabitating_couples,straight_cohabitating,lgbt_cohabitating,mlm_cohabitating,wlw_cohabitating,lgbt_pct,mlm_pct,wlw_pct,tot_pop
CITY OF CHICAGO:WARD 46 PRECINCT 20,CITY OF CHICAGO:WARD 46 PRECINCT 20,CITY OF CHICAGO:Ward 46 Precinct 20,TRUE, ,,TRUE,TRUE,,,TRUE,,0.324850263,0.104743956,0.335078528,0.223833058,0.023909739,0.001726258,0.3083,0.2236,0.7764,0.4179,0.3305,0.0344,0.0427,0.1574,0.137071736,0.067933505,0.234349959,0.172367622,0.117050832,0.094294464,0.061823014,0.074310967,0.040797902,0.185706639,0.084621839,0.018067269,0.084787465,0.036537449,0.002804025,0.01255697,0.011163306,0.062313416,0.104470857,0.096561366,0.106224755,0.028540758,0.062093387,0.070925676,0.032624822,46020.0,0.244589254,0.25388601,193.0,0.214285714,280.0,0.813114754,610.0,38.2,50138,312.3410185,1.096260924,-0.538289729,1.068619564,1.587176007,0.800677556,0.803441692,0.85371313,1.058303414,0.800677556,complete,CITY OF CHICAGO,Ward 46 Precinct 20,1,0,0,,0,0,0,624,416,277,149,112,75,0.17724,20.863912413918463,87,0.3655,24.630126922966593,102,0.44154,25.71018462614174,107,0.01346,11.904590793161853,50,0.00088,5.633570214663259,23,0.00114,4.994155857164771,21,0.00024,2.8342247151810875,12,CITY OF CHICAGO:WARD 46 PRECINCT 20,CITY OF CHICAGO:WARD 46 PRECINCT 20,CITY OF CHICAGO:WARD 46 PRECINCT 20,1.2,32.89816372,12.48020483,12.48020483,12.48020483,12.48020483,2.350406073,12.48020483,2.350406073,15.861467175386307,18.07723224633706,19.950143302926183,10.484440438791907,4.495392664117775,3.9033899739413167,2.088005282168025,20.30960714821001,24.027135083679532,25.04084133278394,11.596655406854579,5.4547474381732295,4.755878182768084,2.7659723776501233,13.488255231440268,21.503871663796744,23.575895004907384,13.750610570073487,4.195218146192295,0.010019487271222557,0.013955445834985036,0.2,0.3,1.0,1.000088439,1.5,1.8,1.4,1.0,1.000039806,433.3594056,403.5798841,52.95711223,37.32405943,15.6330528,0.122201368,0.086127263,0.036074105,3677.787281
CITY OF CHICAGO:WARD 40 PRECINCT 02,CITY OF CHICAGO:WARD 40 PRECINCT 02,CITY OF CHICAGO:Ward 40 Precinct 02,TRUE, ,True, , ,,, ,,0.266333634,0.191068365,0.267741503,0.269222408,0.022033998,0.003098746,0.2581,0.4522,0.5478,0.7351,0.1342,0.0,0.0206,0.1085,0.176613636,0.089263126,0.116447455,0.13072505,0.156894366,0.133540872,0.118406933,0.056079991,0.022028571,0.108803931,0.074605268,0.035626311,0.029319274,0.131279951,0.041262285,0.002114819,0.067915237,0.008707989,0.039832502,0.10940676,0.133679716,0.09723915,0.037197014,0.025949506,0.057060288,40002.0,-0.064672003,0.306358382,173.0,0.136986301,292.0,0.752122241,589.0,46.4,50092,294.8071269,-0.221245916,-0.216194695,0.797316012,1.393139599,0.540109943,0.43825375,0.611922395,0.459111855,0.540109943,complete,CITY OF CHICAGO,Ward 40 Precinct 02,1,0,0,,0,0,0,725,483,322,148,111,74,0.2192,21.489510868840032,104,0.41296,24.95199545474587,121,0.3435,23.983583173471786,116,0.02148,12.882176834295473,62,0.00106,5.441615865818742,26,0.00134,4.984462876656242,24,0.00046,2.8912501148223892,14,CITY OF CHICAGO:WARD 40 PRECINCT 02,CITY OF CHICAGO:WARD 40 PRECINCT 02,CITY OF CHICAGO:WARD 40 PRECINCT 02,1.2,43.65349663,10.02177276,10.02177276,10.02177276,10.02177276,3.118819775,10.02177276,3.118819775,15.861029803217782,17.730067165139605,18.10543148581877,11.010997968506562,4.274071178832381,3.9027853583782197,2.088724943815227,20.86516478802073,24.3140350971222,23.305226351220163,12.577370133451987,5.296975299170524,4.7903234145207705,2.801741886613109,13.487817859271743,21.156706582599288,21.73118318779997,14.277168099788144,3.973896660906901,0.009414871708125763,0.0146751074821871,0.2,0.3,1.0,1.103213405,1.5,1.8,1.4,1.0,1.019094305,960.6962444,943.6882152,37.54193916,26.0449195,11.49701967,0.039077845,0.027110462,0.011967383,2794.717841
CITY OF CHICAGO:WARD 40 PRECINCT 03,CITY OF CHICAGO:WARD 40 PRECINCT 03,CITY OF CHICAGO:Ward 40 Precinct 03,TRUE, ,True, , ,,, ,,0.367977893,0.210377527,0.170029032,0.243593412,0.027621658,0.001735153,0.2393,0.2815,0.7185,0.4472,0.3287,0.0101,0.0412,0.139,0.134424762,0.089150124,0.123431815,0.157000987,0.150191225,0.122197187,0.117982968,0.062685825,0.042935107,0.075163822,0.050790335,0.022630867,0.081730145,0.077763644,0.041639156,0.049845048,0.046864602,0.0417723,0.095454721,0.087377403,0.113960625,0.085528867,0.0340353,0.031679919,0.063763246,40003.0,0.304792622,0.476923077,260.0,0.163265306,294.0,0.666666667,546.0,45.9,51236,288.2690656,1.352737762,0.830795162,0.889549409,1.121278483,1.002271369,1.048590204,0.97046321,0.591217516,1.002271369,complete,CITY OF CHICAGO,Ward 40 Precinct 03,1,0,0,,0,0,0,875,583,389,132,99,66,0.21988,21.493386319597736,125,0.41186,25.025418351378363,146,0.34334,23.930045523499786,140,0.02144,12.864049244704495,75,0.00116,5.499792106488954,32,0.00156,4.9652419316312715,29,0.00076,2.8399218583277386,17,CITY OF CHICAGO:WARD 40 PRECINCT 03,CITY OF CHICAGO:WARD 40 PRECINCT 03,CITY OF CHICAGO:WARD 40 PRECINCT 03,1.2,25.77782197,14.10775802,14.10775802,14.10775802,14.10775802,1.841693957,14.10775802,1.841693957,15.861276764444538,17.73044774591803,18.10575220279673,11.003400801970386,4.274116942693736,3.90048161052935,2.086201327804732,20.868426944542275,24.318509059810935,23.309036492056464,12.56959785903299,5.297662508939941,4.788202750903088,2.799401354833802,13.488064820498499,21.157087163377714,21.73150390477793,14.269570933251966,3.9739424247682558,0.00711112385925605,0.012151491471692515,0.2,0.3,1.0,1.038371389,1.5,1.8,1.4,1.0,1.006186241,992.1537101,946.7043098,91.04451547,54.06712064,36.97739483,0.091764527,0.054494702,0.037269825,4844.672301
CITY OF CHICAGO:WARD 40 PRECINCT 04,CITY OF CHICAGO:WARD 40 PRECINCT 04,CITY OF CHICAGO:Ward 40 Precinct 04,TRUE, ,True, , ,,, ,,0.415440296,0.214092066,0.074220137,0.294086665,0.018173934,0.000933405,0.274,0.5715,0.4285,0.7033,0.1102,0.0,0.0528,0.1279,0.115898108,0.133058607,0.107242665,0.111444042,0.145032086,0.147212565,0.139942184,0.076898511,0.023271231,0.016200358,0.063853144,0.006650746,0.01607188,0.02280534,0.048250257,0.035973597,0.040582535,0.060356119,0.116793865,0.05230579,0.141925281,0.107017446,0.084700808,0.05532377,0.131189065,40004.0,0.228287325,0.447619048,105.0,-0.192488263,213.0,0.576086957,552.0,48.9,78551,281.1366351,1.026811866,0.650916078,-0.359065596,0.833115875,0.39935681,0.537944556,0.219954779,0.066123388,0.39935681,complete,CITY OF CHICAGO,Ward 40 Precinct 04,1,0,0,,0,0,0,644,429,286,150,113,75,0.21712,21.478438143946033,92,0.416,24.98685329907752,107,0.34144,23.96276822093891,103,0.02254,12.858838085548696,55,0.00132,5.440383398777382,23,0.00116,4.948237751009793,21,0.00042,3.016117141227024,13,CITY OF CHICAGO:WARD 40 PRECINCT 04,CITY OF CHICAGO:WARD 40 PRECINCT 04,CITY OF CHICAGO:WARD 40 PRECINCT 04,1.21547,49.87682585,8.599256863,8.599256863,8.599256863,8.599256863,3.563444919,8.599256863,3.563444919,15.860790211022632,17.729697940442552,18.10512033865701,10.995347831422144,4.274026780510651,3.8994017151165874,2.0866759027737993,20.87065450371352,24.321451419223003,23.311617013816864,12.561268223851675,5.2984776140981795,4.787307560551854,2.800060634864397,13.487578267076593,21.156337357902235,21.73087204063821,14.261517962703724,3.973852262585171,0.006031228446493454,0.012626066440759573,0.2,0.3,1.0,1.005740232,1.5,1.8,1.4,1.0,1.056804025,674.0657063,663.4844646,30.50494591,17.62760551,12.8773404,0.045255152,0.026151168,0.019103984,4283.173001
CITY OF CHICAGO:WARD 40 PRECINCT 05,CITY OF CHICAGO:WARD 40 PRECINCT 05,CITY OF CHICAGO:Ward 40 Precinct 05,TRUE, ,True, , ,,, ,,0.279423686,0.238417167,0.15771448,0.325280181,0.022841212,0.001458378,0.2342,0.4216,0.5784,0.6759,0.0855,0.0,0.006,0.2119,0.114685521,0.165558422,0.124695096,0.090374031,0.160838613,0.1799866,0.098660033,0.026504625,0.038697059,0.01883403,0.048667355,0.052628389,0.00968482,0.046433633,0.060286321,0.021217471,0.033109628,0.029333473,0.09317498,0.073918864,0.145180981,0.077202902,0.144261622,0.068983653,0.077081877,40005.0,0.370000134,0.471861472,231.0,0.081967213,183.0,0.678733032,442.0,47.2,77189,233.5870985,1.630533125,0.799725139,0.604211389,1.159665393,0.945901588,1.048533762,0.857037114,0.299617665,0.945901588,complete,CITY OF CHICAGO,Ward 40 Precinct 05,1,0,0,,0,0,0,485,323,215,102,77,51,0.21638,21.42054293385774,69,0.41104,24.99263785815092,81,0.34704,23.970614453564604,77,0.02246,12.922617361685319,42,0.00128,5.446445398622518,18,0.00132,4.978339121264578,16,0.00048,2.8759359706603047,9,CITY OF CHICAGO:WARD 40 PRECINCT 05,CITY OF CHICAGO:WARD 40 PRECINCT 05,CITY OF CHICAGO:WARD 40 PRECINCT 05,1.2,27.64550323,13.68084725,13.68084725,13.68084725,13.68084725,1.975130261,13.68084725,1.975130261,15.860489630033104,17.72923472867253,18.1047299882046,11.00176532953617,4.273971080484735,3.9015151364086678,2.089194732702519,20.867747261661318,24.317450369074784,23.308218789926748,12.567824157941429,5.297907615571689,4.789265146497169,2.802423629446352,13.487277686087065,21.155874146132213,21.7304816901858,14.267935460817752,3.973796562559255,0.008144649738573541,0.01514489636947942,0.2,0.3,1.0,1.012574921,1.5,1.8,1.4,1.0,1.033604447,794.5993904,785.3470594,27.14535709,14.86266971,12.28268738,0.034162318,0.018704607,0.015457711,4265.4384
CITY OF CHICAGO:WARD 40 PRECINCT 06,CITY OF CHICAGO:WARD 40 PRECINCT 06,CITY OF CHICAGO:Ward 40 Precinct 06,TRUE, ,True, , ,,, ,,0.284697117,0.203927552,0.216503133,0.292759606,0.021602321,0.00071651,0.2276,0.4362,0.5638,0.6125,0.1413,0.0,0.064,0.1164,0.115210709,0.120910573,0.125048961,0.122623324,0.124157867,0.145168942,0.140804685,0.058872039,0.047202899,0.058901925,0.092231022,0.065448075,0.053444382,0.044462353,0.039045314,0.053698862,0.048082373,0.063964759,0.132283929,0.069588512,0.086740237,0.076367353,0.029174134,0.03820393,0.048362838,40006.0,0.229757004,0.422053232,263.0,0.15625,256.0,0.697959184,490.0,48.9,48493,251.1209901,1.033072955,0.493983543,0.864927263,1.220829843,0.886388832,0.903203401,0.878733604,0.643507695,0.886388832,complete,CITY OF CHICAGO,Ward 40 Precinct 06,1,0,0,,0,0,0,381,254,169,124,93,62,0.21678,21.49698495058498,55,0.4129,25.0301242301235,64,0.34526,23.930497676980274,61,0.0218,12.871002728343846,33,0.00176,5.5011034812804604,14,0.00124,4.9768000733264675,13,0.00026,2.9144644372282915,7,CITY OF CHICAGO:WARD 40 PRECINCT 06,CITY OF CHICAGO:WARD 40 PRECINCT 06,CITY OF CHICAGO:WARD 40 PRECINCT 06,1.2,29.72295187,13.20598828,13.20598828,13.20598828,13.20598828,2.123553374,13.20598828,2.123553374,15.860802998574613,17.72971764676063,18.10513694525182,11.006718936817382,4.274029150144798,3.9021537900705003,2.0888435651832773,20.866400351591313,24.315674546521493,23.306659077748286,12.572948963642828,5.297404628836845,4.789790370005308,2.801959031773416,13.487591054628574,21.156357064220312,21.730888647233023,14.272889068098962,3.973854632219318,0.008783303400406454,0.014793728850237543,0.2,0.3,1.0,1.012530389,1.5,1.8,1.4,1.0,1.009030507,324.9087449,315.0921303,13.397214,7.116085057,6.281128947,0.041233775,0.021901796,0.019331979,2396.762117
CITY OF CHICAGO:WARD 48 PRECINCT 08,CITY OF CHICAGO:WARD 48 PRECINCT 08,CITY OF CHICAGO:Ward 48 Precinct 08,TRUE, ,True, , ,,, ,,0.709058479,0.082826848,0.077405955,0.120105514,0.003690528,0.001376767,0.4169,0.4691,0.5309,0.5418,0.2504,0.0,0.0069,0.1887,0.009712954,0.035514243,0.217438167,0.10622823,0.178900853,0.142815539,0.105726251,0.121508722,0.082154918,0.047911574,0.093863632,0.034689121,0.012498676,0.057250287,0.028051402,0.127440586,0.018500865,0.01299297,0.066500721,0.13541996,0.117854729,0.076616168,0.044610379,0.022561173,0.103237636,48008.0,0.218744169,0.450381679,131.0,0.032520325,246.0,0.578723404,470.0,47.6,60033,187.5234849,0.986156359,0.66787414,0.430663935,0.841503244,0.676000177,0.731549419,0.61582308,-0.026915648,0.676000177,complete,CITY OF CHICAGO,Ward 48 Precinct 08,1,0,0,,0,0,0,461,307,205,78,59,39,0.21574,21.467902554644986,66,0.41348,25.01650758458449,77,0.34536,23.884964967649445,73,0.02184,12.875574169182904,40,0.00146,5.523028997634291,17,0.00162,4.963217120184598,15,0.0005,2.955868578942472,9,CITY OF CHICAGO:WARD 48 PRECINCT 08,CITY OF CHICAGO:WARD 48 PRECINCT 08,CITY OF CHICAGO:WARD 48 PRECINCT 08,1.2,37.86637598,11.344581,11.344581,11.344581,11.344581,2.70535951,11.344581,2.70535951,15.86246669489596,17.732281493925427,18.107297509739738,10.996991344529242,4.27433744618295,3.8967514095661104,2.0799409488113083,20.872793903890457,24.324646013696878,23.314164816407022,12.56315648820175,5.298128635133975,4.78463934344444,2.7933077693449695,13.489254750949922,21.15892091138511,21.73304921172094,14.263161475810822,3.9741629282574706,0.003380922896016233,0.0058911124782687774,0.2,0.3,1.0,1.003716995,1.5,1.8,1.4,1.0,1.00026038,84.33170631,79.23976377,11.60519755,8.948995787,2.656201761,0.137613693,0.106116622,0.031497071,296.6954233
CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:Ward 48 Precinct 16,TRUE,TRUE,True, , ,,, ,,0.410933966,0.149698008,0.231391529,0.195388687,0.020471656,0.002589781,0.2924,0.1856,0.8144,0.3308,0.4635,0.0267,0.0364,0.1426,0.136131465,0.083164237,0.210226728,0.215535351,0.096448677,0.084152671,0.079162181,0.071694313,0.023484377,0.082194963,0.078913007,0.058946548,0.087796964,0.084449794,0.006138599,0.072265886,0.022712813,0.041891888,0.126379821,0.06708721,0.110699322,0.065047999,0.03635312,0.043267043,0.015855023,48016.0,0.285883844,0.232876712,219.0,0.231527094,203.0,0.796437659,393.0,37.2,45786,182.4713467,1.272183073,-0.667252654,1.12913293,1.534120912,0.802741051,0.817046065,0.865158424,0.831879568,0.802741051,complete,CITY OF CHICAGO,Ward 48 Precinct 16,1,0,0,,0,0,0,561,374,249,188,141,94,0.1744,20.826886622613955,78,0.365,24.737870161795332,93,0.44504,25.879237310268405,97,0.01298,11.806315167036905,44,0.00112,5.623414053522248,21,0.00118,4.9684745910132815,19,0.00028,2.800234397179875,10,CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:WARD 48 PRECINCT 16,1.2,32.81928535,12.49823468,12.49823468,12.49823468,12.49823468,2.344770616,12.49823468,2.344770616,15.861741265590876,18.09827910261394,20.06026971665349,10.444704407336097,4.508612528810117,3.900925904388389,2.0852786823457046,20.28082582323088,24.01523765497022,25.146103423578865,11.531022379084687,5.464663695954246,4.751576164343979,2.761407828956626,13.488529321644837,21.524918520073623,23.68602141863469,13.710874538617677,4.208438010884637,0.007555417718295092,0.01122884601266499,0.2,0.3,1.0,1.00574553,1.5,1.8,1.4,1.0,1.000483621,318.4338355,299.1766254,45.21120455,35.82491922,9.38628533,0.141979901,0.112503494,0.029476407,1817.290579
CITY OF CHICAGO:WARD 48 PRECINCT 18,CITY OF CHICAGO:WARD 48 PRECINCT 18,CITY OF CHICAGO:Ward 48 Precinct 18,TRUE,TRUE,True, , ,,, ,,0.426426209,0.141125548,0.239467617,0.18227056,0.017540259,0.002527608,0.3298,0.1206,0.8794,0.306,0.3601,0.0,0.1282,0.1561,0.111560322,0.070246275,0.209276836,0.201659193,0.111845165,0.090472411,0.086413144,0.087635179,0.030891474,0.080367818,0.080462037,0.065016719,0.08277143,0.077115866,0.020119672,0.076137569,0.02545568,0.042313815,0.12025228,0.073873634,0.105563547,0.05614917,0.031498699,0.038704464,0.024197603,48018.0,0.273155245,0.046357616,151.0,0.211594203,345.0,0.773529412,680.0,38.6,43537,305.8029572,1.217957023,-1.812176589,1.059172966,1.461242557,0.465670584,0.481548989,0.581195379,1.114444343,0.465670584,complete,CITY OF CHICAGO,Ward 48 Precinct 18,1,0,0,,0,0,0,564,376,251,178,134,89,0.17992,20.921464777890716,79,0.3708,24.734496150869283,93,0.43272,25.607954857194414,96,0.01392,11.93208042171431,45,0.00122,5.609502598838725,21,0.00104,4.959919221852555,19,0.00038,2.8937435824187623,11,CITY OF CHICAGO:WARD 48 PRECINCT 18,CITY OF CHICAGO:WARD 48 PRECINCT 18,CITY OF CHICAGO:WARD 48 PRECINCT 18,1.2,46.92983996,9.272872886,9.272872886,9.272872886,9.272872886,3.352897803,9.272872886,3.352897803,15.86186767197592,18.069599646216933,19.906755222841937,10.489812014838133,4.490199249844665,3.9008787751437435,2.084893097412793,20.325778207541642,24.038374666102357,25.004471835533934,11.61227699705857,5.451740886504761,4.7543505842269305,2.7638437931513113,13.488655728029881,21.496239063676615,23.53250692482314,13.755982146119713,4.190024731919185,0.007508288473649592,0.010843261079753395,0.2,0.3,1.0,1.005117199,1.5,1.8,1.4,1.0,1.00034776,245.751363,230.8936379,34.8887355,27.64351942,7.245216079,0.141967617,0.112485722,0.029481896,3460.302455
CITY OF CHICAGO:WARD 48 PRECINCT 22,CITY OF CHICAGO:WARD 48 PRECINCT 22,CITY OF CHICAGO:Ward 48 Precinct 22,TRUE,TRUE,True, , ,,, ,,0.62149366,0.090077088,0.119764469,0.158553577,0.008995602,0.00019183,0.447,0.8933,0.1067,0.3442,0.4675,0.0,0.0779,0.1104,0.019136647,0.00970025,0.117076466,0.090232409,0.040002366,0.218738067,0.173021134,0.232160072,0.099932589,0.031055446,0.031482924,5.69e-09,0.068578428,0.018547778,0.053264452,1.03e-08,0.037095521,1.72e-08,0.062538362,0.164978528,0.140390678,0.052836978,0.124649185,0.152470824,0.062110865,48022.0,0.31711491,0.191304348,230.0,-0.1796875,256.0,0.556195965,347.0,61.0,80780,149.4838557,1.405232856,-0.922439365,-0.314137797,0.76983636,0.062685948,0.234623013,-0.047066214,0.293271071,0.062685948,complete,CITY OF CHICAGO,Ward 48 Precinct 22,1,0,0,,0,0,0,476,317,211,117,88,59,0.26752,25.0728372340453,79,0.66578,30.591750235883374,97,0.0599,18.15839347450023,58,0.00552,10.587486485068483,34,0.00056,3.9404437648317794,12,0.00042,4.981431314330911,16,0.0003,2.9448594712133196,9,CITY OF CHICAGO:WARD 48 PRECINCT 22,CITY OF CHICAGO:WARD 48 PRECINCT 22,CITY OF CHICAGO:WARD 48 PRECINCT 22,1.2,64.2601632,5.311542942,5.311542942,5.311542942,5.311542942,4.591061043,5.311542942,4.591061043,17.41526393344256,20.341000424755567,13.09890589648926,8.699987545265508,3.0939571563457133,3.898176288793941,2.0821010197496044,24.46912381486,29.78965476797738,17.77818880856271,10.295327277396952,3.884265965860765,4.862436358925351,2.8718399765363456,15.04205198949652,23.76763984221525,16.72465759847046,11.966157676547088,2.7937826384202338,0.004805802123847179,0.008051183416564583,0.2,0.3,1.0,1.006867829,1.5,1.8,1.4,1.0,1.000299022,14.14588037,13.18864034,2.084656083,1.701760141,0.382895942,0.147368423,0.120300759,0.027067664,33.98408025
