JoinField,JoinField2,JoinFieldAlt,Spanish,Polish,Indian_langs,Tagalog,Chinese,Ukranian,Arabic,Korean,Russian,V_20_VAP_White_pct,V_20_VAP_Hispanic_pct,V_20_VAP_Black_pct,V_20_VAP_Asian_pct,V_20_VAP_Native_pct,V_20_VAP_Pacific_pct,bach_pct,owner_pct,renter_pct,drive_pct,transit_pct,walk_pct,bike_pct,wfh_pct,X_22_2022_Age_Age_0_9_pct,X_22_2022_Age_Age_10_19_pct,X_22_2022_Age_Age_20_29_pct,X_22_2022_Age_Age_30_39_pct,X_22_2022_Age_Age_40_49_pct,X_22_2022_Age_Age_50_59_pct,X_22_2022_Age_Age_60_69_pct,X_22_2022_Age_Age_70_79_pct,X_22_2022_Age_Age_O79_pct,X_22_2022_Household_Income_U10K_pct,X_22_2022_Household_Income_10_15K_pct,X_22_2022_Household_Income_15_20K_pct,X_22_2022_Household_Income_20_25K_pct,X_22_2022_Household_Income_25_30K_pct,X_22_2022_Household_Income_30_35K_pct,X_22_2022_Household_Income_35_40K_pct,X_22_2022_Household_Income_40_45K_pct,X_22_2022_Household_Income_45_50K_pct,X_22_2022_Household_Income_50_60K_pct,X_22_2022_Household_Income_60_75K_pct,X_22_2022_Household_Income_75_100K_pct,X_22_2022_Household_Income_100_125K_pct,X_22_2022_Household_Income_125_150K_pct,X_22_2022_Household_Income_150_200K_pct,X_22_2022_Household_Income_O200K_pct,ward_preci,20Primary,Kaegi_margin,Assessor_tot_vote,Harris3_margin,SA_tot_vote,yes_margin,tot_union,median_voting_age,median_household_income,Pres_tot,20Primary_std,Kaegi_margin_std,Harris3_margin_std,yes_margin_std,prog_score_v1_recency,prog_score_v2_equal,prog_score_v3_recent_heavy,prog_score_predicted,prog_score_imputed,imputation_method,jurisdiction,precinct_name,in_chicago,in_evanston,in_skokie,township,in_cook,in_lake,in_mchenry,estimated_turnout_high,estimated_turnout,estimated_turnout_low,estimated_turnout_high_old,estimated_turnout_old,estimated_turnout_low_old,win_prob_Fine,median_pct_Fine,median_votes_Fine,win_prob_Biss,median_pct_Biss,median_votes_Biss,win_prob_Abughazaleh,median_pct_Abughazaleh,median_votes_Abughazaleh,win_prob_Simmons,median_pct_Simmons,median_votes_Simmons,win_prob_Amiwala,median_pct_Amiwala,median_votes_Amiwala,win_prob_Andrew,median_pct_Andrew,median_votes_Andrew,win_prob_Huynh,median_pct_Huynh,median_votes_Huynh,JoinField_norm,JoinField2_norm,JoinFieldAlt_norm,border_uncertainty_mult,exp_Fine,exp_Biss,exp_Abughazaleh,exp_Simmons,exp_Amiwala,exp_Andrew,exp_Huynh,exp_Others,adjusted_Fine,adjusted_Biss,adjusted_Abughazaleh,adjusted_Simmons,adjusted_Amiwala,adjusted_Andrew,adjusted_Huynh,final_Fine,final_Biss,final_Abughazaleh,final_Simmons,final_Amiwala,final_Andrew,final_Huynh,raw_Fine,raw_Biss,raw_Abughazaleh,raw_Simmons,raw_Amiwala,raw_Andrew,raw_Huynh,outside_chicago_weight,evanston_weight,chicago_weight,geo_boost_Biss_evanston,geo_boost_Abughazaleh_chicago,geo_boost_Simmons_chicago,geo_boost_Huynh_chicago,geo_boost_Fine_outside_chicago,geo_boost_Amiwala_niles,tot_cohabitating_couples,straight_cohabitating,lgbt_cohabitating,mlm_cohabitating,wlw_cohabitating,lgbt_pct,mlm_pct,wlw_pct,tot_pop,original_estimated_turnout,area_adjustment_factor
CITY OF CHICAGO:WARD 46 PRECINCT 20,CITY OF CHICAGO:WARD 46 PRECINCT 20,CITY OF CHICAGO:Ward 46 Precinct 20,TRUE, ,,TRUE,TRUE,,,TRUE,,0.324850263,0.104743956,0.335078528,0.223833058,0.023909739,0.001726258,0.3083,0.2236,0.7764,0.4179,0.3305,0.0344,0.0427,0.1574,0.137071736,0.067933505,0.234349959,0.172367622,0.117050832,0.094294464,0.061823014,0.074310967,0.040797902,0.185706639,0.084621839,0.018067269,0.084787465,0.036537449,0.002804025,0.01255697,0.011163306,0.062313416,0.104470857,0.096561366,0.106224755,0.028540758,0.062093387,0.070925676,0.032624822,46020,0.244589254,0.25388601,193,0.214285714,280,0.813114754,610,38.2,50138,312.3410185,1.096260924,-0.538289729,1.068619564,1.587176007,0.800677556,0.803441692,0.85371313,1.058303414,0.800677556,complete,CITY OF CHICAGO,Ward 46 Precinct 20,1,0,0,,0,0,0,624,416,277,149,112,75,0.08868,18.39378501,77,0.4724,26.82547028,112,0.42866,26.18599695,109,0.00756,11.13439756,46,0.00066,5.137231921,21,0.00174,6.301530061,26,0.0003,3.047245964,13,CITY OF CHICAGO:WARD 46 PRECINCT 20,CITY OF CHICAGO:WARD 46 PRECINCT 20,CITY OF CHICAGO:WARD 46 PRECINCT 20,1.2,32.89816372,12.48020483,12.48020483,12.48020483,12.48020483,2.350406073,12.48020483,2.350406073,15.58339482,22.62913796,22.60322905,10.45747142,4.474169836,5.581081022,2.586728671,18.19334755,26.45334786,25.89863425,11.01182915,5.047513464,6.243501223,2.965149698,13.26418029,24.51554923,26.02747378,13.74647421,4.186433096,0.01432635,0.017289673,0.2,0.3,1,1.000088439,1.5,1.8,1.4,1,1.000039806,433.3594056,403.5798841,52.95711223,37.32405943,15.6330528,0.122201368,0.086127263,0.036074105,3677.787281,416,1
CITY OF CHICAGO:WARD 40 PRECINCT 02,CITY OF CHICAGO:WARD 40 PRECINCT 02,CITY OF CHICAGO:Ward 40 Precinct 02,TRUE, ,TRUE, , ,,, ,,0.266333634,0.191068365,0.267741503,0.269222408,0.022033998,0.003098746,0.2581,0.4522,0.5478,0.7351,0.1342,0,0.0206,0.1085,0.176613636,0.089263126,0.116447455,0.13072505,0.156894366,0.133540872,0.118406933,0.056079991,0.022028571,0.108803931,0.074605268,0.035626311,0.029319274,0.131279951,0.041262285,0.002114819,0.067915237,0.008707989,0.039832502,0.10940676,0.133679716,0.09723915,0.037197014,0.025949506,0.057060288,40002,-0.064672003,0.306358382,173,0.136986301,292,0.752122241,589,46.4,50092,294.8071269,-0.221245916,-0.216194695,0.797316012,1.393139599,0.540109943,0.43825375,0.611922395,0.459111855,0.540109943,complete,CITY OF CHICAGO,Ward 40 Precinct 02,1,0,0,,0,0,0,725,483,322,148,111,74,0.10874,18.87147201,91,0.53276,27.18364309,131,0.34164,24.49993767,118,0.01352,12.09174369,58,0.00078,4.999675075,24,0.00214,6.349132951,31,0.00042,3.100840234,15,CITY OF CHICAGO:WARD 40 PRECINCT 02,CITY OF CHICAGO:WARD 40 PRECINCT 02,CITY OF CHICAGO:WARD 40 PRECINCT 02,1.2,43.65349663,10.02177276,10.02177276,10.02177276,10.02177276,3.118819775,10.02177276,3.118819775,15.58296471,22.23335144,20.5666918,10.98387055,4.253295092,5.580216514,2.587620274,18.71489523,26.79234722,24.18755376,11.929002,4.913932284,6.27609406,2.999498646,13.26375019,24.11976271,23.99093652,14.27287334,3.965558352,0.013461841,0.018181276,0.2,0.3,1,1.103213405,1.5,1.8,1.4,1,1.019094305,960.6962444,943.6882152,37.54193916,26.0449195,11.49701967,0.039077845,0.027110462,0.011967383,2794.717841,483,1
CITY OF CHICAGO:WARD 40 PRECINCT 03,CITY OF CHICAGO:WARD 40 PRECINCT 03,CITY OF CHICAGO:Ward 40 Precinct 03,TRUE, ,TRUE, , ,,, ,,0.367977893,0.210377527,0.170029032,0.243593412,0.027621658,0.001735153,0.2393,0.2815,0.7185,0.4472,0.3287,0.0101,0.0412,0.139,0.134424762,0.089150124,0.123431815,0.157000987,0.150191225,0.122197187,0.117982968,0.062685825,0.042935107,0.075163822,0.050790335,0.022630867,0.081730145,0.077763644,0.041639156,0.049845048,0.046864602,0.0417723,0.095454721,0.087377403,0.113960625,0.085528867,0.0340353,0.031679919,0.063763246,40003,0.304792622,0.476923077,260,0.163265306,294,0.666666667,546,45.9,51236,288.2690656,1.352737762,0.830795162,0.889549409,1.121278483,1.002271369,1.048590204,0.97046321,0.591217516,1.002271369,complete,CITY OF CHICAGO,Ward 40 Precinct 03,1,0,0,,0,0,0,875,583,389,132,99,66,0.10944,18.88961555,110,0.53656,27.14756869,158,0.33798,24.50304825,143,0.01274,12.08438515,70,0.00102,4.974740661,29,0.00192,6.361764549,37,0.00034,3.088220805,18,CITY OF CHICAGO:WARD 40 PRECINCT 03,CITY OF CHICAGO:WARD 40 PRECINCT 03,CITY OF CHICAGO:WARD 40 PRECINCT 03,1.2,25.77782197,14.10775802,14.10775802,14.10775802,14.10775802,1.841693957,14.10775802,1.841693957,15.58320757,22.23378532,20.56704586,10.97627567,4.253340747,5.576922503,2.584493717,18.7180757,26.79737923,24.19173419,11.92194142,4.914652794,6.27298391,2.996555951,13.26399305,24.12019659,23.99129059,14.26527846,3.965604007,0.01016783,0.015054719,0.2,0.3,1,1.038371389,1.5,1.8,1.4,1,1.006186241,992.1537101,946.7043098,91.04451547,54.06712064,36.97739483,0.091764527,0.054494702,0.037269825,4844.672301,583,1
CITY OF CHICAGO:WARD 40 PRECINCT 04,CITY OF CHICAGO:WARD 40 PRECINCT 04,CITY OF CHICAGO:Ward 40 Precinct 04,TRUE, ,TRUE, , ,,, ,,0.415440296,0.214092066,0.074220137,0.294086665,0.018173934,0.000933405,0.274,0.5715,0.4285,0.7033,0.1102,0,0.0528,0.1279,0.115898108,0.133058607,0.107242665,0.111444042,0.145032086,0.147212565,0.139942184,0.076898511,0.023271231,0.016200358,0.063853144,0.006650746,0.01607188,0.02280534,0.048250257,0.035973597,0.040582535,0.060356119,0.116793865,0.05230579,0.141925281,0.107017446,0.084700808,0.05532377,0.131189065,40004,0.228287325,0.447619048,105,-0.192488263,213,0.576086957,552,48.9,78551,281.1366351,1.026811866,0.650916078,-0.359065596,0.833115875,0.39935681,0.537944556,0.219954779,0.066123388,0.39935681,complete,CITY OF CHICAGO,Ward 40 Precinct 04,1,0,0,,0,0,0,644,429,286,150,113,75,0.11128,18.91577125,0,0.535,27.22172146,0,0.33858,24.4870707,0,0.0119,12.01704512,0,0.00098,4.983028875,0,0.00188,6.373575634,0,0.00038,2.975774659,0,CITY OF CHICAGO:WARD 40 PRECINCT 04,CITY OF CHICAGO:WARD 40 PRECINCT 04,CITY OF CHICAGO:WARD 40 PRECINCT 04,1.21547,49.87682585,8.599256863,8.599256863,8.599256863,8.599256863,3.563444919,8.599256863,3.563444919,15.5827291,22.2329305,20.56634829,10.96822512,4.253250799,5.575378416,2.585081677,18.72009121,26.80043344,24.1943342,11.9142042,4.915339446,6.271608309,2.997312397,13.26351458,24.11934177,23.99059302,14.25722791,3.965514059,0.008623743,0.015642679,0.2,0.3,1,1.005740232,1.5,1.8,1.4,1,1.056804025,674.0657063,663.4844646,30.50494591,17.62760551,12.8773404,0.045255152,0.026151168,0.019103984,4283.173001,0,0.167558691
CITY OF CHICAGO:WARD 40 PRECINCT 05,CITY OF CHICAGO:WARD 40 PRECINCT 05,CITY OF CHICAGO:Ward 40 Precinct 05,TRUE, ,TRUE, , ,,, ,,0.279423686,0.238417167,0.15771448,0.325280181,0.022841212,0.001458378,0.2342,0.4216,0.5784,0.6759,0.0855,0,0.006,0.2119,0.114685521,0.165558422,0.124695096,0.090374031,0.160838613,0.1799866,0.098660033,0.026504625,0.038697059,0.01883403,0.048667355,0.052628389,0.00968482,0.046433633,0.060286321,0.021217471,0.033109628,0.029333473,0.09317498,0.073918864,0.145180981,0.077202902,0.144261622,0.068983653,0.077081877,40005,0.370000134,0.471861472,231,0.081967213,183,0.678733032,442,47.2,77189,233.5870985,1.630533125,0.799725139,0.604211389,1.159665393,0.945901588,1.048533762,0.857037114,0.299617665,0.945901588,complete,CITY OF CHICAGO,Ward 40 Precinct 05,1,0,0,,0,0,0,485,323,215,102,77,51,0.11166,18.96974554,61,0.53712,27.17797091,88,0.33528,24.40985347,79,0.0131,12.09372882,39,0.00076,4.985197972,16,0.0018,6.360963129,21,0.00028,3.115056515,10,CITY OF CHICAGO:WARD 40 PRECINCT 05,CITY OF CHICAGO:WARD 40 PRECINCT 05,CITY OF CHICAGO:WARD 40 PRECINCT 05,1.2,27.64550323,13.68084725,13.68084725,13.68084725,13.68084725,1.975130261,13.68084725,1.975130261,15.58243351,22.23240242,20.56591735,10.97464069,4.253195231,5.578400289,2.588202304,18.71723759,26.79590203,24.19057734,11.920139,4.914721198,6.274471598,3.00027444,13.26321899,24.11881369,23.99016208,14.26364348,3.965458491,0.011645616,0.018763307,0.2,0.3,1,1.012574921,1.5,1.8,1.4,1,1.033604447,794.5993904,785.3470594,27.14535709,14.86266971,12.28268738,0.034162318,0.018704607,0.015457711,4265.4384,323,0.999999983
CITY OF CHICAGO:WARD 40 PRECINCT 06,CITY OF CHICAGO:WARD 40 PRECINCT 06,CITY OF CHICAGO:Ward 40 Precinct 06,TRUE, ,TRUE, , ,,, ,,0.284697117,0.203927552,0.216503133,0.292759606,0.021602321,0.00071651,0.2276,0.4362,0.5638,0.6125,0.1413,0,0.064,0.1164,0.115210709,0.120910573,0.125048961,0.122623324,0.124157867,0.145168942,0.140804685,0.058872039,0.047202899,0.058901925,0.092231022,0.065448075,0.053444382,0.044462353,0.039045314,0.053698862,0.048082373,0.063964759,0.132283929,0.069588512,0.086740237,0.076367353,0.029174134,0.03820393,0.048362838,40006,0.229757004,0.422053232,263,0.15625,256,0.697959184,490,48.9,48493,251.1209901,1.033072955,0.493983543,0.864927263,1.220829843,0.886388832,0.903203401,0.878733604,0.643507695,0.886388832,complete,CITY OF CHICAGO,Ward 40 Precinct 06,1,0,0,,0,0,0,381,254,169,124,93,62,0.1103,18.91399812,48,0.53656,27.16291326,69,0.33576,24.39183174,62,0.01392,12.12652115,31,0.00104,4.977854641,13,0.00204,6.380578268,16,0.00038,3.071082054,8,CITY OF CHICAGO:WARD 40 PRECINCT 06,CITY OF CHICAGO:WARD 40 PRECINCT 06,CITY OF CHICAGO:WARD 40 PRECINCT 06,1.2,29.72295187,13.20598828,13.20598828,13.20598828,13.20598828,2.123553374,13.20598828,2.123553374,15.58274167,22.23295297,20.56636663,10.97959281,4.253253163,5.579313467,2.587767236,18.71602346,26.79406644,24.18901266,11.92490245,4.914300309,6.275281642,2.999736239,13.26352715,24.11936424,23.99061136,14.26859559,3.965516423,0.012558794,0.018328239,0.2,0.3,1,1.012530389,1.5,1.8,1.4,1,1.009030507,324.9087449,315.0921303,13.397214,7.116085057,6.281128947,0.041233775,0.021901796,0.019331979,2396.762117,254,0.999999982
CITY OF CHICAGO:WARD 48 PRECINCT 08,CITY OF CHICAGO:WARD 48 PRECINCT 08,CITY OF CHICAGO:Ward 48 Precinct 08,TRUE, ,TRUE, , ,,, ,,0.709058479,0.082826848,0.077405955,0.120105514,0.003690528,0.001376767,0.4169,0.4691,0.5309,0.5418,0.2504,0,0.0069,0.1887,0.009712954,0.035514243,0.217438167,0.10622823,0.178900853,0.142815539,0.105726251,0.121508722,0.082154918,0.047911574,0.093863632,0.034689121,0.012498676,0.057250287,0.028051402,0.127440586,0.018500865,0.01299297,0.066500721,0.13541996,0.117854729,0.076616168,0.044610379,0.022561173,0.103237636,48008,0.218744169,0.450381679,131,0.032520325,246,0.578723404,470,47.6,60033,187.5234849,0.986156359,0.66787414,0.430663935,0.841503244,0.676000177,0.731549419,0.61582308,-0.026915648,0.676000177,complete,CITY OF CHICAGO,Ward 48 Precinct 08,1,0,0,,0,0,0,461,307,205,78,59,39,0.11012,18.95290429,58,0.53548,27.13968043,83,0.33892,24.46065148,75,0.01234,12.01899592,37,0.00078,4.998791831,15,0.00208,6.351836868,20,0.00028,3.100036182,10,CITY OF CHICAGO:WARD 48 PRECINCT 08,CITY OF CHICAGO:WARD 48 PRECINCT 08,CITY OF CHICAGO:WARD 48 PRECINCT 08,1.2,37.86637598,11.344581,11.344581,11.344581,11.344581,2.70535951,11.344581,2.70535951,15.58437773,22.23587589,20.56875186,10.96986814,4.253560727,5.571588881,2.576737611,18.72253828,26.8046163,24.19766425,11.91631288,4.915361747,6.267840086,2.988989644,13.26516321,24.12228716,23.99299659,14.25887093,3.965823987,0.004834208,0.007298614,0.2,0.3,1,1.003716995,1.5,1.8,1.4,1,1.00026038,84.33170631,79.23976377,11.60519755,8.948995787,2.656201761,0.137613693,0.106116622,0.031497071,296.6954233,307,0.999999878
CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:Ward 48 Precinct 16,TRUE,TRUE,TRUE, , ,,, ,,0.410933966,0.149698008,0.231391529,0.195388687,0.020471656,0.002589781,0.2924,0.1856,0.8144,0.3308,0.4635,0.0267,0.0364,0.1426,0.136131465,0.083164237,0.210226728,0.215535351,0.096448677,0.084152671,0.079162181,0.071694313,0.023484377,0.082194963,0.078913007,0.058946548,0.087796964,0.084449794,0.006138599,0.072265886,0.022712813,0.041891888,0.126379821,0.06708721,0.110699322,0.065047999,0.03635312,0.043267043,0.015855023,48016,0.285883844,0.232876712,219,0.231527094,203,0.796437659,393,37.2,45786,182.4713467,1.272183073,-0.667252654,1.12913293,1.534120912,0.802741051,0.817046065,0.865158424,0.831879568,0.802741051,complete,CITY OF CHICAGO,Ward 48 Precinct 16,1,0,0,,0,0,0,561,374,249,188,141,94,0.08788,18.36482567,69,0.46824,26.8318257,100,0.43312,26.27465967,98,0.00816,10.99302355,41,0.00066,5.153995935,19,0.00158,6.297510902,24,0.00036,3.011900612,11,CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:WARD 48 PRECINCT 16,1.2,32.81928535,12.49823468,12.49823468,12.49823468,12.49823468,2.344770616,12.49823468,2.344770616,15.58366435,22.65313249,22.72480714,10.41774734,4.487363,5.577557776,2.583350633,18.16648638,26.43903333,26.00278043,10.95071505,5.056043872,6.238235219,2.960028903,13.26444983,24.53954376,26.14905187,13.70675013,4.19962626,0.010803103,0.013911636,0.2,0.3,1,1.00574553,1.5,1.8,1.4,1,1.000483621,318.4338355,299.1766254,45.21120455,35.82491922,9.38628533,0.141979901,0.112503494,0.029476407,1817.290579,374,1
CITY OF CHICAGO:WARD 48 PRECINCT 18,CITY OF CHICAGO:WARD 48 PRECINCT 18,CITY OF CHICAGO:Ward 48 Precinct 18,TRUE,TRUE,TRUE, , ,,, ,,0.426426209,0.141125548,0.239467617,0.18227056,0.017540259,0.002527608,0.3298,0.1206,0.8794,0.306,0.3601,0,0.1282,0.1561,0.111560322,0.070246275,0.209276836,0.201659193,0.111845165,0.090472411,0.086413144,0.087635179,0.030891474,0.080367818,0.080462037,0.065016719,0.08277143,0.077115866,0.020119672,0.076137569,0.02545568,0.042313815,0.12025228,0.073873634,0.105563547,0.05614917,0.031498699,0.038704464,0.024197603,48018,0.273155245,0.046357616,151,0.211594203,345,0.773529412,680,38.6,43537,305.8029572,1.217957023,-1.812176589,1.059172966,1.461242557,0.465670584,0.481548989,0.581195379,1.114444343,0.465670584,complete,CITY OF CHICAGO,Ward 48 Precinct 18,1,0,0,,0,0,0,564,376,251,178,134,89,0.08852,18.4482351,69,0.47446,26.82325584,101,0.4256,26.15182453,98,0.00828,11.04779589,42,0.00068,5.128765303,19,0.00212,6.32088115,24,0.00034,3.074175643,12,CITY OF CHICAGO:WARD 48 PRECINCT 18,CITY OF CHICAGO:WARD 48 PRECINCT 18,CITY OF CHICAGO:WARD 48 PRECINCT 18,1.2,46.92983996,9.272872886,9.272872886,9.272872886,9.272872886,3.352897803,9.272872886,3.352897803,15.58378866,22.6204364,22.55532919,10.46284138,4.468986878,5.577490388,2.582872925,18.20866738,26.46642126,25.86333414,11.02665047,5.045144723,6.240860926,2.962244289,13.26457414,24.50684766,25.97957392,13.75184417,4.181250138,0.010735716,0.013433927,0.2,0.3,1,1.005117199,1.5,1.8,1.4,1,1.00034776,245.751363,230.8936379,34.8887355,27.64351942,7.245216079,0.141967617,0.112485722,0.029481896,3460.302455,376,1
CITY OF CHICAGO:WARD 48 PRECINCT 22,CITY OF CHICAGO:WARD 48 PRECINCT 22,CITY OF CHICAGO:Ward 48 Precinct 22,TRUE,TRUE,TRUE, , ,,, ,,0.62149366,0.090077088,0.119764469,0.158553577,0.008995602,0.00019183,0.447,0.8933,0.1067,0.3442,0.4675,0,0.0779,0.1104,0.019136647,0.00970025,0.117076466,0.090232409,0.040002366,0.218738067,0.173021134,0.232160072,0.099932589,0.031055446,0.031482924,5.69E-09,0.068578428,0.018547778,0.053264452,1.03E-08,0.037095521,1.72E-08,0.062538362,0.164978528,0.140390678,0.052836978,0.124649185,0.152470824,0.062110865,48022,0.31711491,0.191304348,230,-0.1796875,256,0.556195965,347,61,80780,149.4838557,1.405232856,-0.922439365,-0.314137797,0.76983636,0.062685948,0.234623013,-0.047066214,0.293271071,0.062685948,complete,CITY OF CHICAGO,Ward 48 Precinct 22,1,0,0,,0,0,0,476,317,211,117,88,59,0.1252,22.02512485,70,0.81152,32.71941844,104,0.05866,18.7474783,59,0.00352,9.845136304,31,0.00028,3.713872643,12,0.00066,6.471154819,21,0.00016,3.128231903,10,CITY OF CHICAGO:WARD 48 PRECINCT 22,CITY OF CHICAGO:WARD 48 PRECINCT 22,CITY OF CHICAGO:WARD 48 PRECINCT 22,1.2,64.2601632,5.311542942,5.311542942,5.311542942,5.311542942,4.591061043,5.311542942,4.591061043,17.11838579,25.20995323,15.07043239,8.673523446,3.075163617,5.573626242,2.579413765,21.8950449,32.4022524,18.66478038,9.804219601,3.647060374,6.339088598,3.060876948,14.79917127,27.0963645,18.49467711,11.96252623,2.787426877,0.006871569,0.009974768,0.2,0.3,1,1.006867829,1.5,1.8,1.4,1,1.000299022,14.14588037,13.18864034,2.084656083,1.701760141,0.382895942,0.147368423,0.120300759,0.027067664,33.98408025,317,1
