JoinField,JoinFieldAlt,estimated_turnout,win_prob_Fine,median_pct_Fine,median_votes_Fine,win_prob_Biss,median_pct_Biss,median_votes_Biss,win_prob_Abughazaleh,median_pct_Abughazaleh,median_votes_Abughazaleh,win_prob_Simmons,median_pct_Simmons,median_votes_Simmons,win_prob_Amiwala,median_pct_Amiwala,median_votes_Amiwala,win_prob_Andrew,median_pct_Andrew,median_votes_Andrew,win_prob_Huynh,median_pct_Huynh,median_votes_Huynh
COOK:8300051,COOK:Northfield Precinct 51,662,0.75802,0.3465202900825007,229,0.2308,0.27361785308295217,181,0.0103,0.14542412221643497,96,0.00032,0.05966461747575582,39,0.00026,0.054578736798481006,36,0.00016,0.05149465310567143,34,0.00014,0.031392078039979704,21
COOK:7502001,COOK:Evanston Ward 2 Precinct 1,685,0.01548,0.19806443150983236,136,0.97722,0.41180712254368457,282,0.0072,0.17440337464199918,119,0.0,0.0534806871447845,37,8e-05,0.04700854086112945,32,2e-05,0.046956505662774484,32,0.0,0.026961027529004027,18
COOK:8200038,COOK:Niles Precinct 38,416,0.36002,0.28311172836700005,118,0.61032,0.3155348632161685,131,0.02804,0.16713094161770103,70,0.00102,0.07302464746056048,30,0.00028,0.04268886864459637,18,0.00022,0.0509174498189082,21,0.0001,0.02967142109450926,12
COOK:8300012,COOK:Northfield Precinct 12,416,0.34982,0.2754115651622818,115,0.61088,0.31019383814092155,129,0.0364,0.17209665484727413,72,0.00212,0.08066099878296436,34,0.00044,0.04445882103536432,18,0.00016,0.05066041198455462,21,0.00018,0.029416942539432153,12
COOK:8000060,COOK:Maine Precinct 60,331,0.74928,0.3403680477291988,113,0.237,0.2706114466837514,90,0.0126,0.14990862476948832,50,0.0005,0.06520004547189082,22,0.0004,0.0559876141024179,19,8e-05,0.05196164839572316,17,0.00014,0.031222234372901683,10
COOK:7507002,COOK:Evanston Ward 7 Precinct 2,597,0.01834,0.20377012051070323,122,0.9754,0.4110405828830012,245,0.006,0.16514342784509295,99,6e-05,0.06033998852315812,36,0.0001,0.04561367701850252,27,4e-05,0.04748852263378491,28,6e-05,0.02621526527023202,16
COOK:8200003,COOK:Niles Precinct 3,376,0.7521,0.3407112870079901,128,0.23268,0.2698534081267413,101,0.01382,0.14997760426991869,56,0.0007,0.0647842584260575,24,0.00044,0.05593112601672644,21,8e-05,0.05143436717361614,19,0.00018,0.03135584858004035,12
COOK:8200007,COOK:Niles Precinct 7,383,0.34722,0.27603086739530336,106,0.61298,0.30970760873115,119,0.03712,0.1719321818250671,66,0.00178,0.08052057462154356,31,0.00032,0.04473676649540863,17,0.00042,0.05067048917550526,19,0.00016,0.03051893054356005,12
COOK:9600046,COOK:Wheeling Precinct 46,353,0.75254,0.34230924659210005,121,0.23486,0.2714598585089379,96,0.01142,0.14830638377940983,52,0.00058,0.06335551135965797,22,0.00032,0.055811152812485124,20,0.0001,0.05125103848078476,18,0.00018,0.030952473895111524,11
COOK:8200059,COOK:Niles Precinct 59,356,0.34602,0.2749568936438387,98,0.6136,0.3103863099946643,110,0.03764,0.17223879653994945,61,0.00184,0.08057245873927543,29,0.00034,0.04451628318347669,16,0.00034,0.05087975626911636,18,0.00022,0.029874719949103675,11
COOK:8300021,COOK:Northfield Precinct 21,388,0.7512,0.3409903650997242,132,0.23366,0.27011648836483504,105,0.01352,0.14951753131657383,58,0.00092,0.06527148537245889,25,0.00046,0.05564803979845623,22,0.0001,0.05146510778509268,20,0.00014,0.03148506766386318,12
COOK:8100013,COOK:New Trier Precinct 13,377,0.34904,0.27643207833425054,104,0.6128,0.3106346757978898,117,0.0357,0.17199502573363185,65,0.00156,0.07967374877125802,30,0.00046,0.0440413488773725,17,0.00028,0.05097257395365534,19,0.00016,0.03002650093361496,11
COOK:8200053,COOK:Niles Precinct 53,363,0.34688,0.2757640589136803,100,0.61308,0.309856728833629,112,0.03702,0.17276926998248304,63,0.00208,0.08056786614052103,29,0.00038,0.04428667689808702,16,0.00038,0.05016659172910583,18,0.00018,0.029582863580857478,11
COOK:7506001,COOK:Evanston Ward 6 Precinct 1,545,0.01882,0.20713849791025638,113,0.97626,0.4146191362816971,226,0.0048,0.16242911124895362,89,6e-05,0.05564022168892238,30,4e-05,0.0446087492312542,24,2e-05,0.046802881963377965,26,0.0,0.026396439488097053,14
COOK:8200061,COOK:Niles Precinct 61,300,0.34468,0.2755775761285224,83,0.61242,0.31023126124005485,93,0.03996,0.1719796511630188,52,0.00204,0.08006560314306585,24,0.00038,0.044604646442090716,13,0.00028,0.05046657153569671,15,0.00024,0.03009034438416892,9
COOK:9600008,COOK:Wheeling Precinct 8,326,0.3477,0.2751513640178932,90,0.61186,0.31033261352359554,101,0.03766,0.17232710914360158,56,0.0019,0.08025411897827021,26,0.0004,0.044532931973913364,15,0.00028,0.050305523583155966,16,0.0002,0.029662438993576023,10
COOK:7507001,COOK:Evanston Ward 7 Precinct 1,531,0.0184,0.20358374099964135,108,0.97472,0.4109339203517239,218,0.00658,0.1650926013548237,88,0.00012,0.05945259565726416,32,6e-05,0.04625691813658109,25,0.0001,0.04728868929939766,25,2e-05,0.027106034952958734,14
COOK:9600027,COOK:Wheeling Precinct 27,351,0.75002,0.34084898267360464,120,0.23492,0.26985482264626337,95,0.01368,0.14984468599633943,53,0.00064,0.06542586552839352,23,0.00038,0.055185050391443724,19,0.0002,0.05223022349624516,18,0.00016,0.03098698488230127,11
COOK:8200016,COOK:Niles Precinct 16,332,0.35144,0.27601494766657586,92,0.60974,0.309474772417021,103,0.03592,0.17209152049688525,57,0.00168,0.08034424541543261,27,0.00062,0.04386815424600387,15,0.0003,0.05046610558272749,17,0.0003,0.02996157511598131,10
